# x1,x2,x3,x4,y
1.135940311831901139e+00,-8.522732557154105715e-01,-2.150585815418330216e-01,-1.200760019539960366e-01,1.000000000000000000e+00
-1.984002696958708789e+00,6.914538563811446492e-01,-4.784181745703400823e-01,-1.602325882430436277e+00,0.000000000000000000e+00
1.550559773711496447e+00,-7.527651933343210144e-01,1.463582663404144613e-01,7.694832467801875353e-01,1.000000000000000000e+00
-1.146486083127542077e+00,1.339693938085811054e+00,7.308105829612542292e-01,1.211252236174257035e+00,0.000000000000000000e+00
-1.620695427518160425e+00,3.964514299139564324e-01,-5.712218051590614021e-01,-1.691697483498419530e+00,0.000000000000000000e+00
3.696793389325897516e-01,-1.318914580526791835e-01,8.587283009865852301e-02,2.916215306538577634e-01,1.000000000000000000e+00
4.103558273000325052e-01,-3.647683136929840142e-01,-1.386388816968382454e-01,-1.726968038630225522e-01,0.000000000000000000e+00
2.437327337526022930e+00,-5.068997455892040316e-01,9.547411854490992500e-01,2.747143746725738911e+00,1.000000000000000000e+00
1.308979229966421576e+00,-1.738840458532585176e+00,-1.058605466806870510e+00,-1.858655520801128391e+00,1.000000000000000000e+00
-2.750121803623328809e-01,-9.268197549589992376e-04,-1.700000335871650892e-01,-4.420982038121944457e-01,0.000000000000000000e+00
-3.181060181338574155e-01,8.899680567560150357e-02,-1.001370064107648256e-01,-3.066214772282318535e-01,0.000000000000000000e+00
2.038891077320433176e+00,-1.275207299903707403e+00,-1.132963131333482587e-01,3.631010057598449414e-01,1.000000000000000000e+00
-1.389656434709931609e+00,4.939074667302603694e-01,-3.248217725820466417e-01,-1.100512999534459135e+00,0.000000000000000000e+00
-4.747887016583114406e-01,3.295761272374739814e-01,6.133640714107790187e-02,-1.039121749665428140e-02,0.000000000000000000e+00
-1.764397544755956337e+00,1.757069769945962090e+00,7.982622536301570149e-01,1.171473444915790418e+00,0.000000000000000000e+00
4.833371908830869090e-01,-2.002785955885226787e-01,8.244912662132461434e-02,3.179986620946106957e-01,1.000000000000000000e+00
1.704932528422929305e+00,-3.695662197674937088e-01,6.517945732512714363e-01,1.887586072381154167e+00,0.000000000000000000e+00
-1.380706909570879048e+00,1.331026535113028597e+00,5.775851966212490751e-01,8.168194260795065276e-01,0.000000000000000000e+00
2.808867995157726671e-01,-1.374228602045985292e+00,-1.299760391266406190e+00,-2.674629578652032436e+00,1.000000000000000000e+00
-4.875890057594348681e-01,8.340924172419929006e-01,5.940194954822617390e-01,1.116041263218045865e+00,0.000000000000000000e+00
-1.445114738236102925e-01,2.485144142753863139e-01,1.774549808660395855e-01,3.337417106023894409e-01,0.000000000000000000e+00
-1.173523430694838110e+00,3.914671526900350140e-01,-3.017553051581369217e-01,-9.875988713669106023e-01,0.000000000000000000e+00
1.032323356843759754e+00,-2.602983250758223455e-01,3.555187400796311903e-01,1.059877976026696977e+00,1.000000000000000000e+00
9.491913175892692234e-01,-1.828276910867448368e+00,-1.375534991856743439e+00,-2.637594228950389308e+00,1.000000000000000000e+00
-1.280710137780215030e+00,1.240154039572237910e+00,5.416748729271081420e-01,7.702244994556355362e-01,0.000000000000000000e+00
2.159580492006721641e+00,-4.953612153565620235e-01,7.964162203632974002e-01,2.329007710177103618e+00,1.000000000000000000e+00
4.373167899755762145e-01,-7.097641352084836930e-01,-4.917060181759848048e-01,-9.138374556583788166e-01,1.000000000000000000e+00
-1.438646250264794091e+00,5.259814114777617844e-01,-3.205634545078390740e-01,-1.105978312146564280e+00,0.000000000000000000e+00
1.694399171635468049e+00,-3.156241382032924925e-01,7.031160528848422464e-01,1.993359757225253048e+00,1.000000000000000000e+00
3.551404147891643603e-01,-3.430968498191170335e-01,-1.493519036443290982e-01,-2.117702848727397447e-01,1.000000000000000000e+00
-1.331001205436146861e+00,1.457275079167087872e+00,7.433968901063428003e-01,1.183342960158637380e+00,0.000000000000000000e+00
1.392012556676919699e+00,-1.217943330579940309e+00,-4.494776420700168362e-01,-5.416606735509637005e-01,1.000000000000000000e+00
-6.265485918050023306e-01,4.362273253718592647e-01,8.234166551271526746e-02,-1.074240857336827837e-02,0.000000000000000000e+00
-1.927013906289877454e+00,3.636411982883204219e-01,-7.946214916253708793e-01,-2.256362782752766805e+00,0.000000000000000000e+00
-1.306928963785921383e+00,1.486101454924220189e+00,7.890755253275981707e-01,1.287386778436100609e+00,0.000000000000000000e+00
-1.681285834275539681e+00,1.507918547138927146e+00,5.823921412115679042e-01,7.380507619560242594e-01,0.000000000000000000e+00
9.039300232397795565e-01,-7.361376277062656737e-01,-2.332088857629490142e-01,-2.272587412070541379e-01,0.000000000000000000e+00
-3.323985347032847315e-01,6.461587094428831168e-01,4.880346773328357313e-01,9.371023448584906435e-01,0.000000000000000000e+00
1.027228253140571423e+00,-1.438416584895440664e+00,-9.098732722416484897e-01,-1.626477699038007874e+00,1.000000000000000000e+00
1.222599675709508116e-01,-3.667364855750619435e-01,-3.177951355102856534e-01,-6.380948473587935155e-01,0.000000000000000000e+00
1.274041708227537928e-01,-1.830381584681769480e-01,-1.178155203547459617e-01,-2.122651464699595314e-01,1.000000000000000000e+00
3.214229874762597472e-01,-1.857625272549673801e+00,-1.792770557758903038e+00,-3.708676478557826783e+00,1.000000000000000000e+00
-1.863812299748482282e+00,7.210383745206706552e-01,-3.728584368568216845e-01,-1.342779399150836106e+00,0.000000000000000000e+00
8.535519204232466794e-01,-4.390176034083097534e-01,5.417225054900014214e-02,3.675813351089249892e-01,0.000000000000000000e+00
-5.362529905357014126e-01,7.216375637457236314e-01,4.436268362488032801e-01,7.825414270473316503e-01,0.000000000000000000e+00
9.727258456594729541e-01,-2.552751231630637774e-01,3.242754263755308064e-01,9.759472653156225919e-01,1.000000000000000000e+00
-1.666240200533891658e+00,1.840986090654239016e+00,9.484939597748043294e-01,1.519281227635733256e+00,0.000000000000000000e+00
-1.886068998497012039e+00,2.046092559459016247e+00,1.033154957231562809e+00,1.633844114070569953e+00,0.000000000000000000e+00
-2.993832946488065083e+00,1.409152781397485565e+00,-3.300452284912712697e-01,-1.586413150347498968e+00,0.000000000000000000e+00
5.418807656473112466e-01,-1.019948905893189650e+00,-7.597854103635003353e-01,-1.451685647112594735e+00,1.000000000000000000e+00
8.356314221784100216e-01,-3.389679757081781042e-01,1.503546096736160798e-01,5.663521583392787662e-01,0.000000000000000000e+00
4.760703592898640757e-02,-1.228909918790204836e+00,-1.287423500132878651e+00,-2.717501810571998355e+00,1.000000000000000000e+00
4.235992092619663696e-01,-1.783803670012170106e-01,6.919974856472094205e-02,2.722050363687337216e-01,1.000000000000000000e+00
6.301645739856842621e-02,-2.852888674278285519e-01,-2.669381623965040862e-01,-5.477243592868856759e-01,1.000000000000000000e+00
2.217444649801372236e-01,-2.393803375649770360e-01,-1.202054849238900353e-01,-1.894124464345072756e-01,0.000000000000000000e+00
-1.315339333560943125e-01,-7.491700316013881478e-02,-1.611010213507374778e-01,-3.807488457799244053e-01,1.000000000000000000e+00
9.757074308630193649e-01,-2.505323704479096580e-01,3.311892266347212788e-01,9.914991463503473046e-01,1.000000000000000000e+00
-4.102820533444015982e-01,-1.837796175016120082e-01,-4.490416489906131625e-01,-1.074193493064916627e+00,0.000000000000000000e+00
1.210422325249349784e+00,-1.536338063311642577e+00,-9.022076437054130649e-01,-1.555989860396317814e+00,1.000000000000000000e+00
1.305475477737370493e+00,-6.075210493124539868e-01,1.513608928458989589e-01,7.075555248428813115e-01,1.000000000000000000e+00
8.199626459283158031e-01,-1.393358261702658307e+00,-9.889706162516014309e-01,-1.855650787235813670e+00,1.000000000000000000e+00
-1.054455782398386443e+00,-2.433690498762020038e-01,-9.087599738778663339e-01,-2.240269410521213089e+00,0.000000000000000000e+00
2.425989887459401029e-01,-1.669167435359080465e-01,-2.975043855165920501e-02,8.683389454829715248e-03,1.000000000000000000e+00
-1.358579251935733367e+00,1.249223284868076433e+00,5.035378761860938024e-01,6.662589270374916772e-01,0.000000000000000000e+00
-4.032350249290050925e-04,-6.260059583922744642e-02,-6.731940940700112397e-02,-1.429544204967527765e-01,1.000000000000000000e+00
-1.036025086030542219e+00,4.567687853648684793e-01,-1.472910035841472065e-01,-6.191661014903045990e-01,0.000000000000000000e+00
1.088359132931088880e+00,-1.116224385317290624e+00,-5.271021270661121472e-01,-7.962383744124408302e-01,1.000000000000000000e+00
-1.416628330516874756e-01,4.181782183481095316e-01,3.609869872896743770e-01,7.239942112520035833e-01,0.000000000000000000e+00
5.249281225074777790e-01,-2.102081982504640234e-01,9.736978757668253437e-02,3.619670228903406617e-01,1.000000000000000000e+00
4.863556652207901010e-01,-1.269494826999745252e+00,-1.061276797902165780e+00,-2.107810267816734751e+00,1.000000000000000000e+00
2.235464176392412128e+00,-1.027159767189447459e+00,2.732698367391551142e-01,1.241481682857857649e+00,1.000000000000000000e+00
2.900952853936274778e+00,-2.061123117470178734e+00,-4.255684751689390311e-01,-4.430287781346953224e-02,1.000000000000000000e+00
1.034793413883329682e+00,-2.491242720100603492e-01,3.690088152647694741e-01,1.089231672921673555e+00,1.000000000000000000e+00
2.110407693569955612e+00,-1.365037249171938472e+00,-1.655919325395529551e-01,2.733107617922723165e-01,1.000000000000000000e+00
-6.469389827120868297e-01,-1.301806767967892131e-01,-5.370506481851297087e-01,-1.330974384058968063e+00,0.000000000000000000e+00
1.715672118189081718e+00,-1.529428560724136243e+00,-5.843065490054653033e-01,-7.319347264968322220e-01,1.000000000000000000e+00
-1.002693044309513448e+00,1.328576297685019281e+00,8.072660223307144278e-01,1.416032729308495330e+00,0.000000000000000000e+00
-1.615366591653823347e+00,1.960730128366400038e+00,1.108054316016950258e+00,1.872886662623289844e+00,0.000000000000000000e+00
-3.794053986154670710e-01,5.349144174781207406e-01,3.399574126417874709e-01,6.090056890453792171e-01,0.000000000000000000e+00
-7.943953790870140752e-01,9.654140334597914874e-01,5.461743134415193435e-01,9.237146116248409200e-01,0.000000000000000000e+00
-2.293975785803592515e-01,1.951977579970189391e-01,6.816416048186670074e-02,7.672844954286739405e-02,0.000000000000000000e+00
1.771004840987177698e+00,-9.762504983963861127e-01,4.238451903865125131e-02,6.141259100060536547e-01,1.000000000000000000e+00
-1.567736123067249299e-01,1.652877735118064295e-01,8.074857509027776048e-02,1.249252870307949737e-01,0.000000000000000000e+00
-2.597047192332436749e-01,7.230807594449184528e-01,6.151241210575237872e-01,1.228271090853614744e+00,0.000000000000000000e+00
1.339652777224247027e+00,-6.502048987915157729e-01,1.266319588816256780e-01,6.652029449350551626e-01,1.000000000000000000e+00
-6.766329753772803990e-01,7.856059761907592254e-01,4.258943040915973977e-01,7.033665825427222185e-01,0.000000000000000000e+00
-6.314220269375736549e-02,-1.084781874955543346e+00,-1.201061915797727142e+00,-2.567044441665392362e+00,1.000000000000000000e+00
-3.555771930138932557e+00,1.193227638521529688e+00,-9.067280941246623760e-01,-2.976318262587107188e+00,0.000000000000000000e+00
-2.768779390577228661e+00,1.108868973815425818e+00,-5.134703995327535297e-01,-1.908982618065831804e+00,0.000000000000000000e+00
7.409653527665852613e-01,-1.527788139454777094e-01,2.916651776009112629e-01,8.381580514816858729e-01,1.000000000000000000e+00
-1.226718537051071145e+00,1.238992520598512642e-01,-6.211239398258835420e-01,-1.680964919900596932e+00,0.000000000000000000e+00
3.556198129726362289e-02,6.030723654381690835e-02,8.646884381995323388e-02,1.939913375457764655e-01,0.000000000000000000e+00
2.954089914200372924e-01,-1.144343453262445381e-01,5.893437170398487662e-02,2.124816677649150609e-01,1.000000000000000000e+00
-6.169828499749885342e-01,8.235794276627299570e-01,5.032374763493253633e-01,8.851253171938694431e-01,0.000000000000000000e+00
-1.313198738247340902e+00,6.596853578297444676e-01,-1.002172297645447241e-01,-6.013273672983936446e-01,0.000000000000000000e+00
-9.601526507367242891e-01,-5.040692284285791525e-01,-1.130126263961775290e+00,-2.682041089180595250e+00,0.000000000000000000e+00
7.962524595392905802e-01,-1.315210255281455520e+00,-9.198121346127293707e-01,-1.715931599749828340e+00,1.000000000000000000e+00
1.365480771120818115e+00,-1.799952734542515032e+00,-1.089359783739180854e+00,-1.907184755436198031e+00,1.000000000000000000e+00
