,teamID,batch,userID,ffID,sIndex,rn
185,naive_benchmark,13,556652401.0,87661377.0,0.752626875613278,5.0
217,naive_benchmark,13,606777051.0,87661377.0,0.6576370560253004,2.0
231,naive_benchmark,13,3003915483.0,87661377.0,0.487361346701367,3.0
232,naive_benchmark,13,3195846773.0,87661377.0,0.9999999999535684,1.0
1470,naive_benchmark,13,87702431.0,87697903.0,0.9999933767838416,4.0
1857,naive_benchmark,13,531321505.0,87715291.0,0.9999999990476462,4.0
2068,naive_benchmark,13,560955119.0,87716125.0,0.9997743961969484,3.0
2677,naive_benchmark,13,566404705.0,87726597.0,0.9999999429203572,1.0
3059,naive_benchmark,13,87717933.0,87750069.0,0.990706248569558,2.0
4371,naive_benchmark,13,171043555.0,87826451.0,0.8174001538483235,5.0
4430,naive_benchmark,13,614236615.0,87826451.0,0.6629638274100533,5.0
5185,naive_benchmark,13,87717933.0,135932485.0,0.9246287004390364,5.0
7750,naive_benchmark,13,560955119.0,145920277.0,0.9997020515356314,5.0
11010,naive_benchmark,13,784864013.0,160970841.0,0.8223635070235927,5.0
11287,naive_benchmark,13,87808217.0,162993327.0,0.9999999803407892,3.0
11682,naive_benchmark,13,560955119.0,164786479.0,0.9999852741812244,2.0
12361,naive_benchmark,13,176408393.0,167729505.0,0.9995954613591488,4.0
12455,naive_benchmark,13,606908629.0,167729505.0,0.9949916508038326,1.0
12485,naive_benchmark,13,736347081.0,167729505.0,0.9660489724792296,2.0
12486,naive_benchmark,13,737382627.0,167729505.0,0.8571335092206392,2.0
12501,naive_benchmark,13,1489023993.0,167729505.0,0.992334362645716,3.0
12896,naive_benchmark,13,531445867.0,168921263.0,0.9952433024468736,4.0
12906,naive_benchmark,13,548029223.0,168921263.0,0.9836271021246492,5.0
12918,naive_benchmark,13,561265031.0,168921263.0,0.9981791453514728,5.0
12970,naive_benchmark,13,728351165.0,168921263.0,0.9945226212000792,1.0
12976,naive_benchmark,13,750555979.0,168921263.0,0.1686743544289592,3.0
13384,naive_benchmark,13,633458069.0,171043555.0,0.2405151993098853,2.0
14473,naive_benchmark,13,87808217.0,175639427.0,0.9999999689776764,5.0
14516,naive_benchmark,13,87717933.0,176408393.0,0.9905304338919286,3.0
14523,naive_benchmark,13,171043555.0,176408393.0,0.9078218333732012,2.0
14553,naive_benchmark,13,548029223.0,176408393.0,0.9875533063062678,4.0
14663,naive_benchmark,13,750555979.0,176408393.0,0.1673710966068213,4.0
16635,naive_benchmark,13,534237491.0,184474071.0,0.9999999999988348,2.0
19235,naive_benchmark,13,87808217.0,202926419.0,0.9999999762133628,4.0
19713,naive_benchmark,13,602411207.0,206682467.0,0.3688847509761417,5.0
20406,naive_benchmark,13,560955119.0,211828979.0,0.9999861602613622,1.0
20435,naive_benchmark,13,724535251.0,211828979.0,0.9999968556472664,1.0
21055,naive_benchmark,13,614236615.0,216135357.0,0.8071292320739988,1.0
22730,naive_benchmark,13,747810047.0,229525517.0,0.8603477769065627,2.0
23527,naive_benchmark,13,531185749.0,235558381.0,0.9999996153537548,5.0
23730,naive_benchmark,13,577749797.0,237521907.0,0.4991366917028836,5.0
23866,naive_benchmark,13,541858963.0,238712041.0,0.9995447811529644,5.0
24021,naive_benchmark,13,547103355.0,240438241.0,0.999999977516154,3.0
24144,naive_benchmark,13,205820795.0,241728571.0,0.9999999959795608,1.0
24325,naive_benchmark,13,176408393.0,242983663.0,0.9995730805666944,5.0
24329,naive_benchmark,13,258517335.0,242983663.0,0.9998531651581062,4.0
24344,naive_benchmark,13,542581467.0,242983663.0,0.9984829928688306,5.0
25488,naive_benchmark,13,248744817.0,258517335.0,0.1848879978800967,3.0
25504,naive_benchmark,13,542581467.0,258517335.0,0.9999991385397108,1.0
25709,naive_benchmark,13,150023465.0,260108669.0,0.998502975505477,4.0
25972,naive_benchmark,13,530282167.0,267198287.0,0.9999999741745946,2.0
27620,naive_benchmark,13,356577045.0,295128217.0,0.9999997009619388,1.0
31112,naive_benchmark,13,721579335.0,381465753.0,0.9945777666010228,3.0
32118,naive_benchmark,13,606777051.0,418967261.0,0.4426647869414539,3.0
34006,naive_benchmark,13,156984681.0,468852279.0,0.9999999925853136,1.0
41224,naive_benchmark,13,593556689.0,529671155.0,0.9997851893770454,3.0
42283,naive_benchmark,13,87808217.0,529955251.0,0.99999998979674,2.0
42996,naive_benchmark,13,87702431.0,530162919.0,0.9999999655551276,1.0
45557,naive_benchmark,13,620253459.0,530804549.0,0.2460754617085669,4.0
45953,naive_benchmark,13,542581467.0,530893551.0,0.999966496906178,2.0
45969,naive_benchmark,13,565648357.0,530893551.0,0.9999991801687618,2.0
47634,naive_benchmark,13,724535251.0,531185749.0,0.9999674356756436,4.0
48062,naive_benchmark,13,87717933.0,531321505.0,0.931158395486518,4.0
48066,naive_benchmark,13,150023465.0,531321505.0,0.9982128987879848,5.0
48078,naive_benchmark,13,258517335.0,531321505.0,0.9989238930834888,5.0
53170,naive_benchmark,13,613667015.0,532465875.0,0.5244758106302417,4.0
53349,naive_benchmark,13,561054567.0,532493575.0,0.7966058962187031,4.0
55940,naive_benchmark,13,207717487.0,533340985.0,0.9963891783435542,4.0
58148,naive_benchmark,13,614421633.0,533974571.0,0.6305233123450935,5.0
58151,naive_benchmark,13,647789999.0,533974571.0,0.9999943878406788,2.0
59438,naive_benchmark,13,620253459.0,534358165.0,0.2603384576635605,2.0
60695,naive_benchmark,13,248744817.0,534708719.0,0.1848995753472251,2.0
63219,naive_benchmark,13,546087303.0,535390049.0,0.3049179928877717,2.0
67447,naive_benchmark,13,766457703.0,536991631.0,0.3146442480236758,2.0
70112,naive_benchmark,13,572941239.0,537873781.0,0.9999999991243946,2.0
71166,naive_benchmark,13,1508358149.0,538325217.0,0.2382583962475986,5.0
72274,naive_benchmark,13,728351165.0,538722449.0,0.9590173134292992,4.0
74880,naive_benchmark,13,549146223.0,539922215.0,0.999916445470197,2.0
75984,naive_benchmark,13,156984681.0,541925451.0,0.9999999740842908,3.0
77578,naive_benchmark,13,258517335.0,542581467.0,0.9999991385397108,1.0
77648,naive_benchmark,13,613667015.0,542581467.0,0.5974360400446581,1.0
77930,naive_benchmark,13,487664223.0,542705995.0,0.9999999886008784,1.0
85435,naive_benchmark,13,728915677.0,545363071.0,0.99736567683705,2.0
88818,naive_benchmark,13,560752407.0,546352185.0,0.9999993803864063,2.0
91084,naive_benchmark,13,826170107.0,547103355.0,0.1236847776006071,2.0
91380,naive_benchmark,13,207717487.0,547181629.0,0.9999964811661572,1.0
92587,naive_benchmark,13,544081007.0,547547357.0,0.9998487494317392,4.0
94571,naive_benchmark,13,547103355.0,548460439.0,0.9999999393492832,4.0
97233,naive_benchmark,13,182244399.0,549486107.0,0.9999999999999556,1.0
